family	group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
brainstorming	1	stefaniuk/loadout	.github/skills/brainstorming/SKILL.md	main	https://github.com/stefaniuk/loadout/blob/main/.github/skills/brainstorming/SKILL.md	no-label	0.985	1	1	0.028310623098293426	1	0	1	0	0	0			0.1	++ | ## Workflow Mode Guard | Use this skill only when the active local workflow mode is `superpowers`.	--	YES	Add workflow-mode guard gate			YES	
brainstorming	2	ivfarias/ceo	.ai/skills/brainstorming/SKILL.md	main	https://github.com/ivfarias/ceo/blob/main/.ai/skills/brainstorming/SKILL.md	workflow-specialization	0.792	29	63	-0.8515015213652599	3	7	0	0	0	4			1.111	++ | ## Overview | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	PARTIAL	Simplify to overview/process/after-design template (propagation)			MAYBE	
brainstorming	3	artubss/SKILLS-CLAUDE-CODE	favorites/brainstorming/SKILL.md	master	https://github.com/artubss/SKILLS-CLAUDE-CODE/blob/master/favorites/brainstorming/SKILL.md	workflow-specialization	0.878	22	55	-0.3151210477576399	3	4	0	0	0	0			0.778	++ | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders | Do NOT invoke any implementation skill, write any code, scaffold any project, or take any implementation action until yo	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	PARTIAL	Adopt checklist/process-flow template (propagation)			MAYBE	
brainstorming	4	Number-Pii/organisation	Teams/skills/brainstorming/SKILL.md	main	https://github.com/Number-Pii/organisation/blob/main/Teams/skills/brainstorming/SKILL.md	compact-rewrite	0.466	9	20	-0.6785950522555894	18	7	0	2	0	5			1.25	++ | ## Purpose | Turn raw ideas into **clear, validated designs and specifications**	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add mandatory non-functional-requirements phase			YES	
brainstorming	5	gabrielmoreira/agent-skills-mirror	mirrors/repos/beita6969@ScienceClaw/skills/brainstorming/SKILL.md	main	https://github.com/gabrielmoreira/agent-skills-mirror/blob/main/mirrors/repos/beita6969@ScienceClaw/skills/brainstorming/SKILL.md	workflow-specialization	0.85	8	12	-0.7068395290382326	4	5	0	0	0	1			1.0	++ | ## Overview | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	NO				NO	
brainstorming	6	aAAaqwq/AGI-Super-Team	skills/sp-brainstorming/SKILL.md	main	https://github.com/aAAaqwq/AGI-Super-Team/blob/main/skills/sp-brainstorming/SKILL.md	routing-specialization	0.399	3	3	-0.8261013361555761	9	7	0	0	3	0	heading: Related Skills; related skills		1.455	++ | ## Overview | Transform rough ideas into fully-formed designs through structured questioning and alternative exploration.	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	YES	Add explicit phase split with worktree handoff			YES	
brainstorming	7	diegosouzapw/awesome-omni-skills	skills/brainstorming/SKILL.md	main	https://github.com/diegosouzapw/awesome-omni-skills/blob/main/skills/brainstorming/SKILL.md	routing-specialization	0.496	2	2	-0.16655642280724964	38	8	0	1	0	0	heading: Related Skills; owns; related skills		1.179	++ | ## Overview | This public intake copy packages `plugins/antigravity-awesome-skills-claude/skills/brainstorming` from `https://github.c	-- | Help turn ideas into fully formed designs and specs through natural collaborative dialogue. | Start by classifying how much process the request needs, then work	NO				NO	
brainstorming	8	galyarderlabs/galyarder-design	skills/brainstorming/SKILL.md	main	https://github.com/galyarderlabs/galyarder-design/blob/main/skills/brainstorming/SKILL.md	compact-rewrite	0.448	2	2	-0.9469506548485249	5	9	1	3	0	5			1.556	++ | # brainstorming | > Curated from @obra.	-- | # Brainstorming Ideas Into Designs | Help turn ideas into fully formed designs and specs through natural collaborative dialogue.	YES	Add provenance/source annotations and thin wrapper			MAYBE	
brainstorming	9	derHaken/SuperAntigravity	skills/brainstorming/SKILL.md	main	https://github.com/derHaken/SuperAntigravity/blob/main/skills/brainstorming/SKILL.md	workflow-specialization	0.801	1	1	-0.6209154650085991	5	5	1	0	0	1			1.111	++ | ## Overview | Start by understanding the current project context, then ask questions one at a time to refine the idea. Once you unders	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add greenfield-project specialization path			YES	
brainstorming	10	openteams-lab/openteams	assets/skills/brainstorming/SKILL.md	main	https://github.com/openteams-lab/openteams/blob/main/assets/skills/brainstorming/SKILL.md	workflow-specialization	0.851	1	1	-0.434845879084535	4	5	0	1	0	2	do not use		1.0	++ | ## OpenTeams-only availability | This skill is part of the OpenTeams workflow and is only available when the current input prompt starts with:	-- | Start by classifying how much process the request needs, then work | through your path: understand the context, refine the idea, present a	YES	Add environment-availability (prompt-prefix) trigger guard			YES	
