group_id	repository	path	ref	direct_skill_url	archetype	relatedness_score	group_member_count	occurrence_count	length_delta	added_headings	removed_headings	added_commands	removed_commands	added_cross_skill_refs	removed_cross_skill_refs	routing_signals	wrapper_signals	workflow_structure_delta	placeholder_signal	short_added_excerpt	short_removed_excerpt	meaningful_behavior_change	motif_1	motif_2	motif_3	worth_reviewing	notes
1	asta-nguyen/openez-graph	.agents/skills/superpowers-systematic-debugging/SKILL.md	main	https://github.com/asta-nguyen/openez-graph/blob/main/.agents/skills/superpowers-systematic-debugging/SKILL.md	expanded-guidance	0.997	41	101	0.06667383589633294	0	0	0	0	0	0			0.0	0.0	++ | | Excuse                                       | Reality                                                                 | | | -------------------------------------------- | ----------------------------------------------------------------------- |	-- | | Excuse | Reality | | |--------|---------|	NO				NO	
2	coco-research/coco	skills/systematic-debugging/SKILL.md	main	https://github.com/coco-research/coco/blob/main/skills/systematic-debugging/SKILL.md	routing-specialization	0.988	11	15	0.051941068932143244	1	0	0	0	1	0	related skills		0.062	0.0	"++ | **Announce at start:** ""Systematic Debugging skill activated."" | Random fixes waste time and create new bugs. Quick patches mask underlying issues."	"-- | - Use the `superpowers:verification-before-completion` skill before claiming success | - ""Ultra-think this"" - Question fundamentals, not just symptoms"	YES	Require announcing activation before debugging	Route completion verification to a separate verification Skill		YES	
3	eastreams/loong	skills/systematic-debugging/SKILL.md	rewrite	https://github.com/eastreams/loong/blob/rewrite/skills/systematic-debugging/SKILL.md	workflow-specialization	0.753	11	16	0.07753521884073557	34	4	2	0	1	0			0.844	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | - Someone wants it fixed NOW (systematic is faster than thrashing)	-- | - Manager wants it fixed NOW (systematic is faster than thrashing) | ### Phase 1: Root Cause Investigation	YES	Add concrete numbered sub-steps inside each phase	Add project-specific debugging commands		YES	
4	pratikrath126/ai-image-detector	.agent/kit-skills/systematic-debugging/SKILL.md	main	https://github.com/pratikrath126/ai-image-detector/blob/main/.agent/kit-skills/systematic-debugging/SKILL.md	compact-rewrite	0.464	5	17	-0.7656737283578879	20	13	0	1	0	0			1.5	0.0	++ | > Source: obra/superpowers | This skill provides a structured approach to debugging that prevents random guessing and ensures problems are properly understood before sol	-- | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure. | **Violating the letter of this process is violating the spirit of debugging.**	PARTIAL	Split debugging into reproduce/isolate phases with quantitative rate			MAYBE	
5	MadAppGang/claude-code	plugins/dev/skills/discipline/systematic-debugging/SKILL.md	main	https://github.com/MadAppGang/claude-code/blob/main/plugins/dev/skills/discipline/systematic-debugging/SKILL.md	expanded-guidance	0.475	2	2	0.8881600172061512	56	13	2	1	0	0			1.19	0.0	"++ | **Iron Law:** ""NO FIXES WITHOUT ROOT CAUSE INVESTIGATION FIRST"" | Use this skill when:"	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Rewrite methodology as hypothesis-driven data-flow-traced process	Add violation-indicator red flags		YES	
6	Ibrahim-3d/orchestrator-supaconductor	skills/systematic-debugging/SKILL.md	master	https://github.com/Ibrahim-3d/orchestrator-supaconductor/blob/master/skills/systematic-debugging/SKILL.md	no-label	0.952	1	1	-0.19002043230454888	0	3	0	0	0	0	related skills		0.2	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | 1. **read_file Error Messages Carefully**	-- | 1. **Read Error Messages Carefully** | - Read stack traces completely	NO				NO	
7	skeletorflet/opencode-supreme-setup	.claude/skills/systematic-debugging/SKILL.md	master	https://github.com/skeletorflet/opencode-supreme-setup/blob/master/.claude/skills/systematic-debugging/SKILL.md	workflow-specialization	0.853	1	1	-0.8044951070007528	1	6	0	2	0	0			0.467	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | 1. Read Error Messages Carefully - don't skip past errors	-- | **Violating the letter of this process is violating the spirit of debugging.** | ```	PARTIAL	Compact four-phase structure with sparse section removal			MAYBE	
8	itseffi/agentic-os	.agents/skills/systematic-debugging/SKILL.md	main	https://github.com/itseffi/agentic-os/blob/main/.agents/skills/systematic-debugging/SKILL.md	workflow-specialization	0.857	1	1	-0.6737283578879449	1	5	0	1	0	0	do not use		0.4	0.0	++ | Use when encountering any bug, test failure, or unexpected behavior, before proposing fixes. | - If not reproducible, gather more data	-- | ## Overview | **Core principle:** ALWAYS find root cause before attempting fixes. Symptom fixes are failure.	YES	Add explicit routing boundary: do not use outside debugging			YES	
9	earchibald/vsc-superpowers	.agents/skills/investigate/SKILL.md	main	https://github.com/earchibald/vsc-superpowers/blob/main/.agents/skills/investigate/SKILL.md	no-label	0.944	1	1	-0.1471125927519088	2	1	0	1	0	0	related skills		0.188	0.0	++ | # Skill: systematic-debugging | ---	-- | **WHEN system has multiple components (CI → build → signing, API → service → database):** | **BEFORE proposing fixes, add diagnostic instrumentation:**	NO				NO	
10	aiskillstore/marketplace	skills/asmayaseen/systematic-debugging/SKILL.md	main	https://github.com/aiskillstore/marketplace/blob/main/skills/asmayaseen/systematic-debugging/SKILL.md	workflow-specialization	0.768	1	1	-0.4128400903322938	6	5	1	1	0	0			0.688	0.0	++ | Random fixes waste time and create new bugs. Quick patches mask underlying issues. | ---	-- | ## Overview | **Violating the letter of this process is violating the spirit of debugging.**	YES	Restructure to red-flags-stop process with mandatory phase ordering			MAYBE	
11	coctostan/pi-superpowers-plus	skills/systematic-debugging/SKILL.md	main	https://github.com/coctostan/pi-superpowers-plus/blob/main/skills/systematic-debugging/SKILL.md	no-label	0.895	1	1	-0.22346488869770942	2	3	0	0	0	0	related skills		0.333	0.0	++ | > **Related skills:** Write a failing test for the bug with `/skill:test-driven-development`. Verify the fix with `/skill:verification-befor | Random fixes waste time and create new bugs. Quick patches mask underlying issues.	-- | Use for ANY technical issue: | - Test failures	PARTIAL	Route failing-test writing to TDD skill and verification to separate skill			YES	
